scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,max_original_knot_q_difference_rad
1410,0.42,0.04,baseline,True,True,False,10.99957324193337,0.09166311034944474,279.4621343401648,5.74796795423988e-15,8.619885491361858e-14,True,3,0.14086710072803577,8.97615315409439e-14
1410,0.42,0.04,selected,True,True,True,8.069999234302552,0.06724999361918793,189.80502542462165,8.702026564797134e-15,5.920671526308976e-14,True,3,0.14086710072803577,6.977751709769109e-14
1411,0.44,0.04,baseline,True,True,False,12.151431545587453,0.1012619295465621,312.91094469633674,4.431867788313117e-15,3.835791921065468e-14,True,3,0.20269604678832653,1.0763612223740893e-13
1411,0.44,0.04,selected,True,True,True,8.559864688566465,0.07133220573805388,195.11122126750635,3.1039433865322265e-15,4.9638715032119597e-14,True,3,0.20269604678832698,7.749356711883593e-14
1412,0.46,0.04,baseline,True,True,False,12.542321067486828,0.1045193422290569,327.8828728128254,6.732672557320192e-15,7.831226837232738e-14,True,3,0.26593664505255976,1.7544299346639036e-13
1412,0.46,0.04,selected,True,True,True,8.773411045204007,0.07311175871003339,200.57269754170903,7.695180155662153e-15,7.728884444071977e-14,True,3,0.26593664505256065,3.539391002504999e-12
1413,0.48,0.04,baseline,True,True,False,13.22288589321413,0.11019071577678441,322.27680825784574,5.624670137768868e-15,5.198106974538838e-14,True,3,0.33073863118988056,4.2787995369053533e-13
1413,0.48,0.04,selected,True,True,True,9.310436147736567,0.07758696789780473,209.3559257784733,6.076712318574888e-15,1.0044463555207181e-13,True,3,0.330738631189881,7.635225784952127e-12
1414,0.5,0.04,baseline,True,True,False,13.895073133545202,0.11579227611287668,347.3521509591691,4.5278662089609864e-15,4.419976955837821e-14,True,3,0.3971858490873834,1.20570220474292e-13
1414,0.5,0.04,selected,True,True,True,9.551250753284837,0.07959375627737364,210.19346703366148,5.0732188990627735e-15,4.926965232256671e-14,True,3,0.3971858490873834,2.868039139514167e-11
1415,0.52,0.04,baseline,True,True,False,13.876092147128052,0.1156341012260671,353.5423530619561,4.663452961595636e-15,4.0579325499948277e-14,True,3,0.4653033249753262,6.350475700855895e-14
