episode,physics_step,command_id,reference_frame,time_s,region,interpolation_step,A_ik_position_m,A_ik_rotation_rad,B_command_position_m,B_command_rotation_rad,C_tracking_position_m,C_tracking_rotation_rad,total_position_m,total_rotation_rad,FK_runtime_consistency_position_m,FK_runtime_consistency_rotation_rad
0,1,0,0,0.008333333333333333,startup,1,1.8410966031475738e-16,0.0,0.0052433366734722,0.020515551947584625,0.0015576100856437253,0.005775745743532135,0.006781827315507917,0.026290420230083444,3.276996452393961e-07,5.93807066833119e-07
0,2,0,0,0.016666666666666666,startup,2,1.8410966031475738e-16,0.0,0.0034991678943190893,0.013656150310114147,0.002864011384977004,0.010098575707402782,0.006279938222448129,0.02374675014397538,1.8951931130083228e-07,4.539354506649926e-07
0,3,0,0,0.025,startup,3,1.8410966031475738e-16,0.0,0.0017513771768039755,0.006817660005833748,0.003980727261621299,0.013332893307971489,0.005606461730843213,0.020130594988868763,1.9436779322427238e-07,6.426530674948667e-07
0,4,0,0,0.03333333333333333,startup,4,1.8410966031475738e-16,0.0,2.2576216586125924e-08,1.5196262340524156e-07,0.004949974498495652,0.015811309703045943,0.004949981122569507,0.015811211477377556,1.881869129353174e-07,1.6858739404357617e-07
0,5,1,1,0.041666666666666664,work,1,6.206335383118183e-17,0.0,0.005052234946650964,0.015128055611753143,0.005465709952111242,0.016071478210065604,0.009509019635269985,0.031018680951404535,1.862159916518912e-07,4.740349567111404e-07
0,6,1,1,0.05,work,2,6.206335383118183e-17,0.0,0.003369490087112353,0.01008286281817756,0.006126585421068974,0.016411666352023867,0.008662968967955436,0.026319419828057817,2.849101963223548e-07,7.09645801770134e-07
0,7,1,1,0.058333333333333334,work,3,6.206335383118183e-17,0.0,0.0016853988925006743,0.0050402445430005015,0.0068726693473992245,0.01691971671307348,0.008010013367308945,0.021777154129625793,1.7167406021192572e-07,6.056547591954962e-07
0,8,1,1,0.06666666666666667,work,4,6.206335383118183e-17,0.0,1.469446975336416e-08,1.3328003749250115e-07,0.007638114744825237,0.017686623799817024,0.007638101800834446,0.017686692461038024,1.5597102383698993e-07,4.6169559314339464e-07
0,9,2,2,0.075,work,1,2.0206364052201326e-16,0.0,0.005702730831083415,0.01745089868312185,0.008833942355531013,0.019846074752146416,0.013522234793791128,0.037013389018937075,2.5013613046536554e-07,7.220531368008723e-07
0,10,2,2,0.08333333333333333,work,2,2.0206364052201326e-16,0.0,0.003799912854425941,0.011625201729251041,0.009971258273885234,0.022381492233726485,0.01290720791166033,0.033544856860710376,2.0278545228056534e-07,5.975347058702557e-07
0,11,2,2,0.09166666666666666,work,3,2.0206364052201326e-16,0.0,0.0018989910545668552,0.005808214914772007,0.010999695234731351,0.025149087547588985,0.012366014329510294,0.030547991955005356,1.8278627054873985e-07,4.712160915387253e-07
0,12,2,2,0.1,work,4,2.0206364052201326e-16,0.0,2.8175333164054787e-08,9.884312124119402e-08,0.011892932809149657,0.028060541107580255,0.011892948408166761,0.02806055849285802,2.2372503875501968e-07,7.691078126766694e-07
0,13,3,3,0.10833333333333334,work,1,8.777083671441753e-17,0.0,0.006123591191161481,0.021204767065602297,0.01295791511227653,0.03198251685672908,0.01807353914880947,0.05157008550631565,2.042835934235839e-07,7.80570557934575e-07
0,14,3,3,0.11666666666666667,work,2,8.777083671441753e-17,0.0,0.004081736837660763,0.014110326547490653,0.013862804961631938,0.03600257649807101,0.017156469339366025,0.04890749062035468,3.3664339474922717e-07,8.03005312997554e-07
0,15,3,3,0.125,work,3,8.777083671441753e-17,0.0,0.0020405309112537223,0.007042059937681089,0.01460578541740881,0.04009263863657708,0.016194498094351344,0.046473920913871355,2.8945077441022964e-07,5.95300923449941e-07
0,16,3,3,0.13333333333333333,work,4,8.777083671441753e-17,0.0,7.947135442874472e-09,9.884312124119402e-08,0.01519495313248335,0.04424476283231792,0.015194949898819698,0.044244711638208534,1.3218028967411644e-07,1.1920928955078128e-07
0,17,4,4,0.14166666666666666,work,1,8.777083671441753e-17,0.0,0.006029805164961493,0.024748712172418218,0.01569308041034678,0.04871615397223854,0.02078551438829333,0.07045041477470755,2.795827189939986e-07,5.543552409928541e-07
0,18,4,4,0.15,work,2,8.777083671441753e-17,0.0,0.004023494197341255,0.016473302672087554,0.01606905003528483,0.05369275489719093,0.019399613998390266,0.068353220422513,2.6948284029544957e-07,3.99840112477504e-07
