episode,physics_step,command_id,reference_frame,time_s,region,interpolation_step,A_ik_position_m,A_ik_rotation_rad,B_command_position_m,B_command_rotation_rad,C_tracking_position_m,C_tracking_rotation_rad,total_position_m,total_rotation_rad,FK_runtime_consistency_position_m,FK_runtime_consistency_rotation_rad
0,1,0,0,0.008333333333333333,startup,1,1.8410966031475738e-16,0.0,0.0052433366734722,0.020515551947584625,0.001044312457156776,0.001158713071174338,0.006236447527538474,0.021430751089451094,2.1757581653075504e-07,7.907449699295572e-07
0,2,0,0,0.016666666666666666,startup,2,1.8410966031475738e-16,0.0,0.0034991678943190893,0.013656150310114147,0.0015115853045913818,0.0012540212173327999,0.004824395237908447,0.014049523590692678,2.583324852060997e-07,4.5491270787935796e-07
0,3,0,0,0.025,startup,3,1.8410966031475738e-16,0.0,0.0017513771768039755,0.006817660005833748,0.0018352028263733957,0.0020872293416731406,0.0031846562089568107,0.005812377997464566,2.33749602201542e-07,2.920019319991088e-07
0,4,0,0,0.03333333333333333,startup,4,1.8410966031475738e-16,0.0,2.2576216586125924e-08,1.5196262340524156e-07,0.002371077195800734,0.004312748668822603,0.002371096866370382,0.004312901001330139,2.8257180488305197e-07,6.251387883246874e-07
0,5,1,1,0.041666666666666664,work,1,1.1102230246251565e-16,0.0,0.005051680069850256,0.015187535868650806,0.0032996181693162392,0.008529560258890942,0.0063279483939289,0.007534682845557822,2.580618817164928e-07,4.042583693936634e-07
0,6,1,1,0.05,work,2,1.1102230246251565e-16,0.0,0.0033691942346418093,0.01012116961323129,0.00452651905547816,0.012211279533474634,0.005568725791447949,0.0037706478762141917,1.7955377113945414e-07,3.9085379387748307e-07
0,7,1,1,0.058333333333333334,work,3,1.1102230246251565e-16,0.0,0.0016852837160902072,0.00505855576587885,0.005753804688559247,0.015538493288228554,0.005786735062466858,0.010760664282145406,1.6649670073362499e-07,4.519745972187261e-07
0,8,1,1,0.06666666666666667,work,4,1.1102230246251565e-16,0.0,7.750761518421388e-09,7.300048299977715e-08,0.006942227041164981,0.018656454843628878,0.006942220323271596,0.018656514592413503,1.9074064201039987e-07,6.093099206763789e-07
0,9,2,2,0.075,work,1,2.7894008272968645e-16,0.0,0.005709158021458817,0.01745517549989527,0.008582215135482598,0.02318185234469992,0.010586068132587568,0.013091394946447215,3.3260732349398166e-07,7.60981162476765e-07
0,10,2,2,0.08333333333333333,work,2,2.7894008272968645e-16,0.0,0.003804339577036935,0.011624645256022114,0.00993468445374644,0.0266454239917824,0.010728524497408328,0.018482537351173955,2.1592458050438886e-07,6.049210766012823e-07
0,11,2,2,0.09166666666666666,work,3,2.7894008272968645e-16,0.0,0.001901280850417492,0.005806248053687237,0.01102482767603757,0.029334119164818633,0.011181924846953049,0.024961424324883765,1.9576180803512889e-07,5.144678503761327e-07
0,12,2,2,0.1,work,4,2.7894008272968645e-16,0.0,1.8384610538041966e-08,1.1920928955078128e-07,0.011876277862167215,0.031362433063419945,0.01187627036026241,0.03136247875891878,2.251006225531173e-07,9.093371809954935e-07
0,13,3,3,0.10833333333333334,work,1,1.3877787807814457e-16,0.0,0.006195483615412979,0.020999586242907122,0.01234283213889621,0.03287728644174629,0.014627588585950263,0.020246812268098626,2.032031734739665e-07,6.093099206763789e-07
0,14,3,3,0.11666666666666667,work,2,1.3877787807814457e-16,0.0,0.004130113982256964,0.013969331389338018,0.011719556789558787,0.031873598886589874,0.013107883834276014,0.02244005450319456,3.381734066191402e-07,8.565251745700851e-07
0,15,3,3,0.125,work,3,1.3877787807814457e-16,0.0,0.0020649574479691406,0.006969436205430865,0.010761315302904383,0.02959947027804469,0.01136877153485338,0.024362602045636762,2.397711154182038e-07,6.293866658789802e-07
0,16,3,3,0.13333333333333333,work,4,1.3877787807814457e-16,0.0,3.0406796911372045e-08,0.0,0.009939254279466438,0.027256278818769457,0.009939226816457624,0.02725629382673687,6.622642168054397e-08,5.5595511514478e-07
0,17,4,4,0.14166666666666666,work,1,2.3714374201337736e-16,0.0,0.006208919010945388,0.024808892887125063,0.00925020163021004,0.025119487612634363,0.012249447464429741,0.010659064818339106,1.6139012897981683e-07,6.822063411628993e-07
