scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,optimizer_success
1410,0.42,0.04,baseline,True,True,False,10.99957324193337,0.09166311034944474,279.4621343401648,5.74796795423988e-15,8.619885491361858e-14,True,3,0.14086710072803577,
1410,0.42,0.04,local,True,True,False,10.99957324193337,0.09166311034944474,279.4621343401648,5.74796795423988e-15,8.619885491361858e-14,True,3,0.14086710072803577,
1410,0.42,0.04,multistart,True,False,False,2.313503930572889,0.01927919942144074,119.05310225833077,6.9621833811910175e-15,4.101058944056957e-14,True,1,0.14086710072803577,
1410,0.42,0.04,graph,True,False,False,2.313503930572889,0.01927919942144074,119.05310225833077,6.9621833811910175e-15,4.101058944056957e-14,True,1,0.14086710072803577,
1410,0.42,0.04,best,True,False,False,2.313503930572889,0.01927919942144074,119.05310225833077,6.9621833811910175e-15,4.101058944056957e-14,True,1,0.14086710072803577,
1410,0.42,0.04,screened_graph,True,True,True,8.069999234302632,0.0672499936191886,189.8050254245497,6.258820758725486e-15,7.930035967276093e-14,True,3,0.1408671007280362,
1410,0.42,0.04,screened_best,True,True,True,8.069999234302445,0.06724999361918704,189.8050254245625,4.037130527443971e-15,3.332351937053675e-14,True,3,0.1408671007280362,
1410,0.42,0.04,bounded_attempt,True,True,True,8.069999211575904,0.0672499934297992,189.80502543066004,2.428329581201497e-12,8.588846624390761e-11,True,3,0.1408671007280362,True
1410,0.42,0.04,selected,True,True,True,8.069999211575904,0.0672499934297992,189.80502543066004,2.428329581201497e-12,8.588846624390761e-11,True,3,0.1408671007280362,True
1411,0.44,0.04,baseline,True,True,False,12.151431545587453,0.1012619295465621,312.91094469633674,4.431867788313117e-15,3.835791921065468e-14,True,3,0.20269604678832653,
1411,0.44,0.04,local,True,True,False,12.151431545587453,0.1012619295465621,312.91094469633674,4.431867788313117e-15,3.835791921065468e-14,True,3,0.20269604678832653,
1411,0.44,0.04,multistart,True,False,False,2.1397808240396365,0.01783150686699697,118.09157081779489,3.3123335351003132e-15,1.364874786641713e-14,True,1,0.20269604678832653,
1411,0.44,0.04,graph,True,False,False,2.139780824039743,0.01783150686699786,118.09157081779489,8.454719935894238e-15,1.5651750238362437e-14,True,1,0.20269604678832698,
1411,0.44,0.04,best,True,False,False,2.1397808240396365,0.01783150686699697,118.09157081779489,3.3123335351003132e-15,1.364874786641713e-14,True,1,0.20269604678832653,
1411,0.44,0.04,screened_graph,True,True,True,8.559864688566385,0.07133220573805321,195.11122126751914,7.592428071866818e-15,1.3093427413093827e-13,True,3,0.20269604678832698,
1411,0.44,0.04,screened_best,True,True,True,8.559864688565986,0.07133220573804988,195.11122126750635,3.173768454399231e-15,5.006208889933249e-14,True,3,0.20269604678832698,
1411,0.44,0.04,bounded_attempt,True,True,True,8.559864730358822,0.07133220608632351,195.11122197193487,1.402384317317394e-12,5.2718745970641395e-11,True,3,0.20269604678832698,True
1411,0.44,0.04,selected,True,True,True,8.559864688565986,0.07133220573804988,195.11122126750635,3.173768454399231e-15,5.006208889933249e-14,True,3,0.20269604678832698,
1412,0.46,0.04,baseline,True,True,False,12.542321067486828,0.1045193422290569,327.8828728128254,6.732672557320192e-15,7.831226837232738e-14,True,3,0.26593664505255976,
1412,0.46,0.04,local,True,True,False,12.542321067486828,0.1045193422290569,327.8828728128254,6.732672557320192e-15,7.831226837232738e-14,True,3,0.26593664505255976,
1412,0.46,0.04,multistart,True,False,False,1.9934764507931924,0.016612303756609936,118.68146451904096,6.302426818543707e-15,2.474368271246093e-14,True,1,0.265936645052558,
1412,0.46,0.04,graph,True,False,False,1.9934764507936187,0.01661230375661349,117.26680561611786,1.6513850262321035e-14,3.182320626303523e-14,True,1,0.2659366450525602,
1412,0.46,0.04,best,True,False,False,1.9934764507931924,0.016612303756609936,118.68146451904096,6.302426818543707e-15,2.474368271246093e-14,True,1,0.265936645052558,
1412,0.46,0.04,screened_graph,True,True,True,8.773411045203847,0.07311175871003206,200.57269754167706,7.178151592625511e-15,1.0297465872332971e-13,True,3,0.19367754387645064,
1412,0.46,0.04,screened_best,True,True,True,8.773411045203634,0.07311175871003028,200.57269754273221,5.308503267991274e-15,5.500992913801773e-14,True,3,0.26593664505255976,
1412,0.46,0.04,bounded_attempt,True,True,True,8.773411045095774,0.07311175870913145,200.57269754180496,1.2792602559660762e-12,5.011883211195253e-11,True,3,0.26593664505255976,True
