scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad
1410,0.42,0.04,baseline,True,True,False,10.564470103868954,0.3521490034622985,96.7981601122764,3.1470465751267364e-15,1.777720330527304e-14,True,3,0.14141940458714908
1410,0.42,0.04,local,True,True,False,10.564470103869342,0.35214900346231137,96.79816011225954,3.1600567714378123e-15,1.7919654780111933e-14,True,3,0.14141940458714908
1410,0.42,0.04,multistart,True,False,False,2.303292155972847,0.0767764051990949,30.360838994859442,5.789699309037163e-15,3.8340277456567226e-14,True,1,0.14141940458714997
1410,0.42,0.04,graph,True,False,False,2.303292155972887,0.07677640519909623,30.36083899486034,3.740192548426524e-15,3.646781951297983e-14,True,1,0.14141940458714997
1410,0.42,0.04,best,True,False,False,2.303292155972847,0.0767764051990949,30.360838994859442,5.789699309037163e-15,3.8340277456567226e-14,True,1,0.14141940458714997
1410,0.42,0.04,screened_graph,True,True,True,7.614156650179109,0.25380522167263697,54.56445852021549,4.5589549480013384e-15,4.621384397241154e-14,True,3,0.14141940458714952
1410,0.42,0.04,screened_best,True,True,True,7.614156650179063,0.2538052216726354,54.564458520116624,2.4410807844442014e-15,2.168947536816933e-14,True,3,0.14141940458714997
1410,0.42,0.04,bounded_attempt,True,True,True,7.614156650188029,0.2538052216729343,54.56445852164985,1.20426102975794e-13,4.180863137358576e-12,True,3,0.14141940458689195
1410,0.42,0.04,selected,True,True,True,7.614156650179063,0.2538052216726354,54.564458520116624,2.4410807844442014e-15,2.168947536816933e-14,True,3,0.14141940458714997
1411,0.44,0.04,baseline,True,True,False,11.15602421443115,0.3718674738143717,106.2291801252063,3.138413463811582e-15,1.9426339530949773e-14,True,3,0.20280699055395823
1411,0.44,0.04,local,True,True,False,11.156024214431698,0.3718674738143899,106.22918012518096,3.1833589056123863e-15,1.964037458056976e-14,True,3,0.20280699055395823
1411,0.44,0.04,multistart,True,False,False,2.12944132761292,0.07098137758709733,30.164563637135135,8.422939789386488e-15,8.153086678692988e-14,True,1,0.20280699055395823
1411,0.44,0.04,graph,True,False,False,2.12944132761292,0.07098137758709733,30.164563637135135,8.422939789386488e-15,8.153086678692988e-14,True,1,0.20280699055395823
1411,0.44,0.04,best,True,False,False,2.12944132761292,0.07098137758709733,30.164563637135135,8.422939789386488e-15,8.153086678692988e-14,True,1,0.20280699055395823
1411,0.44,0.04,screened_graph,True,True,True,7.8787327519689665,0.2626244250656322,61.63972411741256,4.437943444923987e-15,2.2073421681819476e-14,True,3,0.2028069905539578
1411,0.44,0.04,screened_best,True,True,True,7.878732751968873,0.2626244250656291,61.63972411755165,3.091127802939458e-15,1.9656079134475387e-14,True,3,0.20280699055395823
1411,0.44,0.04,bounded_attempt,True,True,True,7.8787327519702925,0.2626244250656764,61.63972412187739,1.2729887185192417e-13,3.448419286935397e-12,True,3,0.20280699055394757
1411,0.44,0.04,selected,True,True,True,7.878732751968873,0.2626244250656291,61.63972411755165,3.091127802939458e-15,1.9656079134475387e-14,True,3,0.20280699055395823
1412,0.46,0.04,baseline,True,True,False,11.787411025051895,0.39291370083506316,110.64673941586047,4.154017676453206e-15,2.921282891091437e-14,True,3,0.26593664505255976
1412,0.46,0.04,local,True,True,False,11.787411025053,0.3929137008351,110.64673941582913,4.077803224757099e-15,2.921282891091437e-14,True,3,0.26593664505255976
1412,0.46,0.04,multistart,True,False,False,1.9861428358817967,0.06620476119605989,29.983600181208914,4.911168522004512e-15,3.4536260758853824e-14,True,1,0.2659366450525602
1412,0.46,0.04,graph,True,False,False,1.98614283588181,0.06620476119606034,29.983600181208516,5.238019295114249e-15,3.431961492603095e-14,True,1,0.2659366450525602
1412,0.46,0.04,best,True,False,False,1.9861428358817967,0.06620476119605989,29.983600181208914,4.911168522004512e-15,3.4536260758853824e-14,True,1,0.2659366450525602
1412,0.46,0.04,screened_graph,True,True,True,8.435698397781684,0.2811899465927228,66.85737878653369,3.8538356876474664e-15,1.4427226159782974e-14,True,3,0.26593664505255976
1412,0.46,0.04,screened_best,True,True,True,8.435698397781657,0.2811899465927219,66.85737878671314,6.3439707955558585e-15,4.648366062037742e-14,True,3,0.2659366450525602
1412,0.46,0.04,bounded_attempt,True,True,True,8.435698397781284,0.28118994659270946,66.85737878672553,7.047733121814664e-14,1.4855449181389803e-12,True,3,0.26593664505255754
1412,0.46,0.04,selected,True,True,True,8.435698397781284,0.28118994659270946,66.85737878672553,7.047733121814664e-14,1.4855449181389803e-12,True,3,0.26593664505255754
1413,0.48,0.04,baseline,True,True,False,12.541201288393077,0.41804004294643593,126.34184232311944,1.6690295999013937e-15,1.7159719020573255e-14,True,3,0.33073863118988145
1413,0.48,0.04,local,True,True,False,12.541201288394618,0.4180400429464872,126.34184232306613,3.9437403574705793e-16,2.0177160777614643e-15,True,3,0.33073863118988145
