x_m,y_m,full_sequence_ik,first_failed_frame,evaluated_frames,max_evaluated_position_error_m,max_evaluated_orientation_error_rad,max_reference_path_speed_rad_s,min_joint_margin_rad,reference_speed_screen_pass
0.3,-0.74,False,0,1,0.09644947602718597,1.0094404478848185,,,False
0.32,-0.74,False,0,1,0.0989244989992005,1.0101351705794976,,,False
0.34,-0.74,False,0,1,0.10182189486344727,1.0119377265355918,,,False
0.36,-0.74,False,0,1,0.10516040538146784,1.0146842248232988,,,False
0.38,-0.74,False,0,1,0.10895753034310018,1.0181997228050423,,,False
0.4,-0.74,False,0,1,0.11322885318964596,1.0223014400091395,,,False
0.42,-0.74,False,0,1,0.1179872650047823,1.0268040810444197,,,False
0.44,-0.74,False,0,1,0.12324229020643523,1.031525706670627,,,False
0.46,-0.74,False,0,1,0.12899962908818663,1.036293138963794,,,False
0.48,-0.74,False,0,1,0.13526085324671425,1.0409477291041027,,,False
0.5,-0.74,False,0,1,0.1420233800343291,1.0453498722683303,,,False
0.52,-0.74,False,0,1,0.1492807012424654,1.049382022649389,,,False
0.54,-0.74,False,0,1,0.15702279939014477,1.0529503690336504,,,False
0.56,-0.74,False,0,1,0.16523667624038216,1.0559854908397357,,,False
0.58,-0.74,False,0,1,0.17390706305649395,1.0584400946335217,,,False
0.6,-0.74,False,0,1,0.1830169890079551,1.0602880316112815,,,False
0.62,-0.74,False,0,1,0.19254841890097563,1.061521056656314,,,False
0.64,-0.74,False,0,1,0.20248278363661779,1.0621457493486068,,,False
0.66,-0.74,False,0,1,0.212801450224768,1.062179779531508,,,False
0.68,-0.74,False,0,1,0.22348598150470758,1.0616505731872434,,,False
0.7000000000000001,-0.74,False,0,1,0.23451854628657337,1.0605894819649173,,,False
0.72,-0.74,False,0,1,0.24588181202912957,1.0590355116943615,,,False
0.74,-0.74,False,0,1,0.25755935467852026,1.057027137879085,,,False
0.76,-0.74,False,0,1,0.26953550119090197,1.0546056663643322,,,False
0.78,-0.74,False,0,1,0.2817956460853091,1.0518067343503865,,,False
0.8,-0.74,False,0,1,0.2943256741442223,1.0486742206152857,,,False
0.8200000000000001,-0.74,False,0,1,0.30711266469894966,1.045240579047943,,,False
0.84,-0.74,False,0,1,0.32014422495150047,1.0415434369231429,,,False
0.86,-0.74,False,0,1,0.3334088405369359,1.0376144984045257,,,False
0.88,-0.74,False,0,1,0.34689562631573173,1.033485359921458,,,False
0.9,-0.74,False,0,1,0.3605943992097665,1.029183821802072,,,False
0.92,-0.74,False,0,1,0.37449562045169077,1.0247340279523105,,,False
0.9400000000000001,-0.74,False,0,1,0.3885902258919941,1.0201610730501636,,,False
0.96,-0.74,False,0,1,0.40286975357457955,1.0154851226518558,,,False
0.98,-0.74,False,0,1,0.4173261812129554,1.0107260582361244,,,False
1.0,-0.74,False,0,1,0.4319519490995367,1.005901483739007,,,False
0.3,-0.72,False,0,1,0.08418387199285261,0.9395431062939075,,,False
0.32,-0.72,False,0,1,0.08636740641730181,0.9419341944467677,,,False
0.34,-0.72,False,0,1,0.08896033334515249,0.9456568395500645,,,False
0.36,-0.72,False,0,1,0.09198566221229927,0.950539777840077,,,False
0.38,-0.72,False,0,1,0.09546612153011094,0.9563930600342414,,,False
0.4,-0.72,False,0,1,0.09942323124976918,0.9630114748627462,,,False
0.42,-0.72,False,0,1,0.10387623840113379,0.9701800181514525,,,False
0.44,-0.72,False,0,1,0.10884118256876964,0.9776794341534284,,,False
0.46,-0.72,False,0,1,0.11432991166218856,0.9852943956611425,,,False
0.48,-0.72,False,0,1,0.12034940664809297,0.99282117011841,,,False
0.5,-0.72,False,0,1,0.12690139182929497,1.0000751214784607,,,False
0.52,-0.72,False,0,1,0.13398235337735925,1.0068963183834079,,,False
0.54,-0.72,False,0,1,0.14158383827923696,1.0131540560514352,,,False
0.56,-0.72,False,0,1,0.14969306242215571,1.0187489604152618,,,False
0.58,-0.72,False,0,1,0.15829379558534173,1.023611642760113,,,False
0.6,-0.72,False,0,1,0.16736715319668338,1.0277020390947587,,,False
0.62,-0.72,False,0,1,0.1768925603043115,1.0310047343194324,,,False
0.64,-0.72,False,0,1,0.18684852992555276,1.0335249114724148,,,False
0.66,-0.72,False,0,1,0.1972132627472077,1.035285080852437,,,False
0.68,-0.72,False,0,1,0.20796523682773096,1.036319653645557,,,False
0.7000000000000001,-0.72,False,0,1,0.21908359995560894,1.0366707297876876,,,False
0.72,-0.72,False,0,1,0.23054829874882457,1.0363874468170102,,,False
0.74,-0.72,False,0,1,0.242340307892659,1.035522066549444,,,False
0.76,-0.72,False,0,1,0.25444184888952376,1.0341244904621998,,,False
0.78,-0.72,False,0,1,0.2668361286560739,1.0322471665900321,,,False
0.8,-0.72,False,0,1,0.27950751888949377,1.0299394839026978,,,False
0.8200000000000001,-0.72,False,0,1,0.29244145367480173,1.0272483193622,,,False
0.84,-0.72,False,0,1,0.3056243023442199,1.0242195894142343,,,False
0.86,-0.72,False,0,1,0.31904347464288807,1.020893087094936,,,False
0.88,-0.72,False,0,1,0.33268713756516616,1.0173086352272909,,,False
0.9,-0.72,False,0,1,0.3465443373380994,1.0135003791482118,,,False
0.92,-0.72,False,0,1,0.36060485581430085,1.009499068177356,,,False
0.9400000000000001,-0.72,False,0,1,0.37485910559145896,1.0053337887981595,,,False
0.96,-0.72,False,0,1,0.3892981101351741,1.0010310262517201,,,False
0.98,-0.72,False,0,1,0.40391346738002437,0.9966142731990767,,,False
1.0,-0.72,False,0,1,0.4186972913469738,0.9921046239795539,,,False
0.3,-0.7000000000000001,False,0,1,0.07302613008179612,0.8641323805631659,,,False
0.32,-0.7000000000000001,False,0,1,0.0749104199258671,0.8680805648433448,,,False
0.34,-0.7000000000000001,False,0,1,0.07718375063250152,0.8736036857246423,,,False
0.36,-0.7000000000000001,False,0,1,0.07987233783370044,0.8805334365220518,,,False
0.38,-0.7000000000000001,False,0,1,0.08300330727547335,0.8886769425125459,,,False
0.4,-0.7000000000000001,False,0,1,0.08660386213293658,0.8978175591117951,,,False
0.42,-0.7000000000000001,False,0,1,0.09070007624996061,0.9077188500897776,,,False
0.44,-0.7000000000000001,False,0,1,0.09531560317094855,0.9181299990600305,,,False
0.46,-0.7000000000000001,False,0,1,0.10047025938296576,0.9287941302291622,,,False
0.48,-0.7000000000000001,False,0,1,0.10617878206406303,0.9394577108352792,,,False
0.5,-0.7000000000000001,False,0,1,0.11244979628999631,0.9498815772682091,,,False
0.52,-0.7000000000000001,False,0,1,0.11928529753258581,0.9598506851348104,,,False
0.54,-0.7000000000000001,False,0,1,0.12668063434400526,0.969182256815962,,,False
0.56,-0.7000000000000001,False,0,1,0.1346249813878922,0.9777313653826243,,,False
0.58,-0.7000000000000001,False,0,1,0.14310220895076153,0.9853934957453058,,,False
0.6,-0.7000000000000001,False,0,1,0.15209213819365155,0.9921020793920623,,,False
0.62,-0.7000000000000001,False,0,1,0.16157166237146983,0.9978265281468468,,,False
0.64,-0.7000000000000001,False,0,1,0.17151599302706869,1.002566012757179,,,False
0.66,-0.7000000000000001,False,0,1,0.18189964106294604,1.0063440184030712,,,False
