acceleration_limit_ok,coarse_collision_edges,coarse_collision_frames,constraint_failure_frames,constraints_met,evaluated_poses,first_constraint_failure_frame,first_unaccepted_frame,full_path_evaluated,index,initial_q,joint_limit_ok,max_evaluated_acceleration_rad_s2,max_evaluated_orientation_error_deg,max_evaluated_position_error_mm,max_evaluated_speed_rad_s,max_evaluated_step_rad,min_evaluated_axis_separation_deg,mode,optimizer_all_accepted,reset_branch,reset_geometric_count,solver_s,solver_status_counts,status,unaccepted_frames,velocity_limit_ok,x_m,y_m
,,,,False,0,,,False,23,,,,,,,,,strict,False,,0,,,reset_unsolved,,,1.0,-0.5
,,,,False,0,,,False,23,,,,,,,,,relaxed,False,,0,,,reset_unsolved,,,1.0,-0.5
True,[],[],[],True,149,-1,-1,True,24,"[-1.4258929621303174, 0.7856922424551456, 1.1852904052313957, 1.1509444252211258, 1.63656354591909, -2.323810724550836]",True,57.00283062503928,0.05723848377387261,0.09990000010984111,1.2792804078559872,0.01066067006546656,86.23181591387166,strict,True,"[0, 0, 0]",8,0.7274840610025421,{'0': 148},pass,[],True,0.30000000000000004,-0.4
True,[],[],[],True,149,-1,-1,True,24,"[-1.4258929621303174, 0.7856922424551456, 1.1852904052313957, 1.1509444252211258, 1.63656354591909, -2.323810724550836]",True,80.71518810574858,2.8619241875011485,4.995000002459388,1.202541914943187,0.010021182624526559,85.22875359063406,relaxed,True,"[0, 0, 0]",8,0.2995812990138802,{'0': 148},pass,[],True,0.30000000000000004,-0.4
True,[],[],[],True,149,-1,78,True,25,"[-1.2423176641031766, 0.8666524650433716, 1.051175153484214, 1.2177379055443889, 1.4980935689981476, -2.2103999803291927]",True,57.25487874604891,0.05723848417827823,0.09990000049094072,1.3644090883833648,0.01137007573652804,77.1223029764758,strict,False,"[0, 0, 0]",8,0.7705524649973086,"{'0': 147, '8': 1}",optimizer_failure,[78],True,0.4,-0.4
True,[],[],[],True,149,-1,-1,True,25,"[-1.2423176641031766, 0.8666524650433716, 1.051175153484214, 1.2177379055443889, 1.4980935689981476, -2.2103999803291927]",True,68.43354246320104,2.861924187423133,4.99500000241254,1.2288353032853516,0.010240294194044597,77.8074909474825,relaxed,True,"[0, 0, 0]",8,0.3101089099982346,{'0': 148},pass,[],True,0.4,-0.4
True,[],[],[],True,149,-1,37,True,26,"[-1.078664031268912, 1.032265834205166, 0.7688406292328649, 1.2436686526833745, 1.3887259288869387, -2.047017015179616]",True,103.49617123498636,0.057238484233544294,0.09990000020799503,1.5123700879786162,0.012603084066488468,67.54646236052754,strict,False,"[0, 0, 0]",8,0.8489158310112543,"{'0': 147, '8': 1}",optimizer_failure,[37],True,0.5,-0.4
True,[],[],[],True,149,-1,-1,True,26,"[-1.078664031268912, 1.032265834205166, 0.7688406292328649, 1.2436686526833745, 1.3887259288869387, -2.047017015179616]",True,55.24905829603064,2.8619241876520913,4.995000001891489,1.5316664543993452,0.012763887119994544,69.03664936636721,relaxed,True,"[0, 0, 0]",8,0.30342225700042036,{'0': 148},pass,[],True,0.5,-0.4
,,,,False,0,,,False,27,,,,,,,,,strict,False,,0,,,reset_unsolved,,,0.6000000000000001,-0.4
,,,,False,0,,,False,27,,,,,,,,,relaxed,False,,0,,,reset_unsolved,,,0.6000000000000001,-0.4
,,,,False,0,,,False,28,,,,,,,,,strict,False,,0,,,reset_unsolved,,,0.7000000000000001,-0.4
