episode,physics_step,command_id,reference_frame,time_s,region,interpolation_step,A_ik_position_m,A_ik_rotation_rad,B_command_position_m,B_command_rotation_rad,C_tracking_position_m,C_tracking_rotation_rad,total_position_m,total_rotation_rad,FK_runtime_consistency_position_m,FK_runtime_consistency_rotation_rad
0,1,0,0,0.008333333333333333,startup,1,3.1676639673831405e-16,0.0,0.005245108523606356,0.02052721376165972,0.0015350355731785588,0.005792822595430824,0.006758802695950002,0.02631340462573196,2.520237964501848e-07,8.92080637639516e-07
0,2,0,0,0.016666666666666666,startup,2,3.1676639673831405e-16,0.0,0.003501517277840283,0.013671584950894109,0.0027777010021286857,0.010114726147829605,0.006181353878818146,0.023751188402838914,1.9913312289418648e-07,2.5809568279517867e-07
0,3,0,0,0.025,startup,3,3.1676639673831405e-16,0.0,0.0017531432695394925,0.006829193563056114,0.003824847037927503,0.013340283671783727,0.005420892804520238,0.020103170650116436,1.842951767333147e-07,1.264405455326821e-07
0,4,0,0,0.03333333333333333,startup,4,3.1676639673831405e-16,0.0,2.8271321296019038e-08,8.940696716308595e-08,0.004752769208779739,0.015827375406935653,0.004752752746712716,0.01582745374049029,2.8359825362502925e-07,7.456538679121063e-07
0,5,1,1,0.041666666666666664,work,1,1.8041124150158794e-16,0.0,0.005075451001347085,0.015151219897628947,0.005323586688859813,0.016189664279418613,0.009235493880981712,0.03126321518235904,1.0715956340625876e-07,3.4240261593687747e-07
0,6,1,1,0.05,work,2,1.8041124150158794e-16,0.0,0.003386434945428638,0.010094934685252377,0.006114631166553805,0.016634599099825904,0.00846092405113242,0.026501191968674554,3.195040846413487e-07,9.90675100004365e-07
0,7,1,1,0.058333333333333334,work,3,1.8041124150158794e-16,0.0,0.0016946128102390376,0.005044696078369947,0.007040698413015368,0.017206037629122633,0.008022824419513843,0.021939480210587323,2.505897342041228e-07,5.004660971089216e-07
0,8,1,1,0.06666666666666667,work,4,1.8041124150158794e-16,0.0,1.0603494746593975e-08,1.1542389828584842e-07,0.008009114744362056,0.01800606080961595,0.008009105729748875,0.018006169282568988,2.7769466224896243e-07,4.4703483581543064e-07
0,9,2,2,0.075,work,1,1.8824747269678055e-16,0.0,0.00572614702224351,0.017429033433165687,0.009459644821022909,0.019738132882099316,0.013784124548062375,0.03579569434942462,2.474216364520129e-07,5.083895358214386e-07
0,10,2,2,0.08333333333333333,work,2,1.8824747269678055e-16,0.0,0.003817841542481433,0.011609578801514964,0.010825090501060508,0.0219706264443153,0.013455594249721634,0.03219353315142818,4.0339596558894227e-07,7.202056630608224e-07
0,11,2,2,0.09166666666666666,work,3,1.8824747269678055e-16,0.0,0.0019091004236777421,0.005799989937149998,0.012048587696224737,0.024485742659375434,0.013236589258689766,0.029293902168552478,5.179497319253647e-07,1.1022831206862428e-06
0,12,2,2,0.1,work,4,1.8824747269678055e-16,0.0,5.53711321386961e-08,1.2287812309317772e-07,0.013100122916903588,0.027190114669425728,0.013100075661937846,0.02719014158389403,2.711274959861849e-07,4.4802714521804273e-07
0,13,3,3,0.10833333333333334,work,1,6.938893903907228e-17,0.0,0.006151475112724501,0.021235133793005952,0.014293898108492084,0.031214992652840272,0.01897919080738852,0.04997154971259074,1.7413192990221619e-07,4.674311620401787e-07
0,14,3,3,0.11666666666666667,work,2,6.938893903907228e-17,0.0,0.0041015380060024234,0.014129655473474957,0.01528752596552896,0.03549606877434631,0.018261810088487006,0.04768217838424098,2.3131124491404968e-07,4.3290373821061784e-07
