x_m,y_m,full_sequence_ik,first_failed_frame,evaluated_frames,max_evaluated_position_error_m,max_evaluated_orientation_error_rad,max_reference_path_speed_rad_s,min_joint_margin_rad,reference_speed_screen_pass
0.30000000000000004,-0.75,False,0,1,0.10299330209074055,1.0421583060972393,,,False
0.35000000000000003,-0.75,False,0,1,0.1103279732637804,1.0435523866113576,,,False
0.4,-0.75,False,0,1,0.12047142629184776,1.0497394066981554,,,False
0.45,-0.75,False,0,1,0.13360845788265438,1.058115764605171,,,False
0.5,-0.75,False,0,1,0.14980357628005603,1.0662797641653672,,,False
0.55,-0.75,False,0,1,0.1689842943578471,1.0724323535050018,,,False
0.6000000000000001,-0.75,False,0,1,0.19096596116547532,1.075559974338117,,,False
0.65,-0.75,False,0,1,0.21549969817918624,1.0753582162514506,,,False
0.7000000000000001,-0.75,False,0,1,0.2423177705852172,1.0720127642927824,,,False
0.75,-0.75,False,0,1,0.27116337170785576,1.0659677898820912,,,False
0.8,-0.75,False,0,1,0.3018045855115151,1.0577565088479763,,,False
0.8500000000000001,-0.75,False,0,1,0.33403817092324756,1.0478991984796515,,,False
0.9,-0.75,False,0,1,0.36768802709112886,1.036860067544501,,,False
0.9500000000000001,-0.75,False,0,1,0.40260229077808585,1.0250191092125935,,,False
1.0,-0.75,False,0,1,0.4386492073597443,1.0126923464726847,,,False
0.30000000000000004,-0.7000000000000001,False,0,1,0.07302612876652803,0.8641323916782303,,,False
0.35000000000000003,-0.7000000000000001,False,0,1,0.07847445097591584,0.8769042452950337,,,False
0.4,-0.7000000000000001,False,0,1,0.08660386213293658,0.8978175591117951,,,False
0.45,-0.7000000000000001,False,0,1,0.0978244887751197,0.9234464649285217,,,False
0.5,-0.7000000000000001,False,0,1,0.11244979628999631,0.9498815772682091,,,False
0.55,-0.7000000000000001,False,0,1,0.13058507065175884,0.9735622014455246,,,False
0.6000000000000001,-0.7000000000000001,False,0,1,0.15209213724429846,0.99210209394616,,,False
0.65,-0.7000000000000001,False,0,1,0.1766544838100504,1.004573218550416,,,False
0.7000000000000001,-0.7000000000000001,False,0,1,0.20388417797518657,1.011193687833276,,,False
0.75,-0.7000000000000001,False,0,1,0.23340381420469,1.0127956874797268,,,False
0.8,-0.7000000000000001,False,0,1,0.2648841919811638,1.0104022979053153,,,False
0.8500000000000001,-0.7000000000000001,False,0,1,0.2980520006055464,1.004981894141843,,,False
0.9,-0.7000000000000001,False,0,1,0.33268333846915316,0.9973635483826864,,,False
0.9500000000000001,-0.7000000000000001,False,0,1,0.3685947918746743,0.9882050389737476,,,False
1.0,-0.7000000000000001,False,0,1,0.40563434285756483,0.9780191476022961,,,False
0.30000000000000004,-0.65,False,0,1,0.049575007893541,0.6565383041639915,,,False
0.35000000000000003,-0.65,False,0,1,0.05322908177983668,0.677907251721472,,,False
0.4,-0.65,False,0,1,0.05913882974007313,0.7113888822890925,,,False
0.45,-0.65,False,0,1,0.06783390490734502,0.7539550535687267,,,False
0.5,-0.65,False,0,1,0.07992177308516885,0.8011190297671392,,,False
0.55,-0.65,False,0,1,0.09590866591053929,0.8473369320455233,,,False
0.6000000000000001,-0.65,False,0,1,0.11597000661848171,0.8874543467500984,,,False
0.65,-0.65,False,0,1,0.13986551444703255,0.9183753336701972,,,False
0.7000000000000001,-0.65,False,0,1,0.16708146556619877,0.9395282904498664,,,False
0.75,-0.65,False,0,1,0.19704474037106534,0.9520432697226376,,,False
0.8,-0.65,False,0,1,0.22925299420381715,0.9576807392165396,,,False
0.8500000000000001,-0.65,False,0,1,0.2633089587210754,0.9581688892636535,,,False
0.9,-0.65,False,0,1,0.298908761734579,0.9549445561269155,,,False
0.9500000000000001,-0.65,False,0,1,0.3358191899383375,0.9491237226457012,,,False
1.0,-0.65,False,0,1,0.3738584655002085,0.9415299440651224,,,False
0.30000000000000004,-0.6000000000000001,False,0,1,0.03078690550737182,0.4316856400709896,,,False
0.35000000000000003,-0.6000000000000001,False,0,1,0.033288038373329595,0.45872464224532866,,,False
0.4,-0.6000000000000001,False,0,1,0.03755541344369386,0.5007734479261692,,,False
0.45,-0.6000000000000001,False,0,1,0.044016689606111575,0.5559386673936028,,,False
0.5,-0.6000000000000001,False,0,1,0.05332787113375235,0.6208973676046438,,,False
0.55,-0.6000000000000001,False,0,1,0.06632743976690238,0.690162729657405,,,False
0.6000000000000001,-0.6000000000000001,False,0,1,0.08377496493763313,0.7562692256455852,,,False
0.65,-0.6000000000000001,False,0,1,0.10593269138281344,0.8120757785936783,,,False
0.7000000000000001,-0.6000000000000001,False,0,1,0.1323967526777271,0.853843920105907,,,False
0.75,-0.6000000000000001,False,0,1,0.16238412045169373,0.8818579426137267,,,False
0.8,-0.6000000000000001,False,0,1,0.19511068491159428,0.8986086224027626,,,False
0.8500000000000001,-0.6000000000000001,False,0,1,0.2299606998351859,0.9069733270301215,,,False
0.9,-0.6000000000000001,False,0,1,0.2664916379421049,0.9093912887035059,,,False
0.9500000000000001,-0.6000000000000001,False,0,1,0.30438956465704453,0.907700339364866,,,False
1.0,-0.6000000000000001,False,0,1,0.34342683811157115,0.9032236467235203,,,False
0.30000000000000004,-0.55,False,0,1,0.01412520897331719,0.19848661877246684,,,False
0.35000000000000003,-0.55,False,0,1,0.016277162618063473,0.230004102065097,,,False
0.4,-0.55,False,0,1,0.019824486228986648,0.27815693405097497,,,False
0.45,-0.55,False,0,1,0.024996006925259773,0.3418012556222113,,,False
0.5,-0.55,False,0,1,0.03226521284455689,0.41905363934387746,,,False
0.55,-0.55,False,0,1,0.04243744794327062,0.5063556108845078,,,False
0.6000000000000001,-0.55,False,0,1,0.05662670967623352,0.5971246596712535,,,False
0.65,-0.55,False,0,1,0.07588451659654677,0.6815951558954794,,,False
0.7000000000000001,-0.55,False,0,1,0.10051173726106677,0.7504584089985731,,,False
0.75,-0.55,False,0,1,0.1298226644275747,0.7999354186871462,,,False
0.8,-0.55,False,0,1,0.16270367001249175,0.8319954227054009,,,False
0.8500000000000001,-0.55,False,0,1,0.19818061318707655,0.8508631969723789,,,False
0.9,-0.55,False,0,1,0.2355716896666116,0.8605030913074081,,,False
0.9500000000000001,-0.55,False,0,1,0.274428197463529,0.8639007375612507,,,False
1.0,-0.55,False,0,1,0.31445140195615406,0.863128857626849,,,False
0.30000000000000004,-0.5,False,14,15,0.0009715409918918188,0.013480027947791713,,,False
0.35000000000000003,-0.5,False,12,13,0.0009631424448121192,0.013544533539208543,,,False
0.4,-0.5,False,0,1,0.0036659986487636576,0.05158097400112331,,,False
0.45,-0.5,False,0,1,0.008630473274804347,0.12180803597312427,,,False
0.5,-0.5,False,0,1,0.015008132710187071,0.20759564713406795,,,False
0.55,-0.5,False,0,1,0.02337337598417192,0.3070344944445563,,,False
0.6000000000000001,-0.5,False,0,1,0.03474968648734757,0.4161810282019443,,,False
0.65,-0.5,False,0,1,0.0505992870551502,0.5268841326642223,,,False
0.7000000000000001,-0.5,False,0,1,0.07225772550278689,0.6264418455874994,,,False
0.75,-0.5,False,0,1,0.09988522323643378,0.703742456474361,,,False
0.8,-0.5,False,0,1,0.13233619382308692,0.7564731760897275,,,False
0.8500000000000001,-0.5,False,0,1,0.1681663607736205,0.7892748405577649,,,False
0.9,-0.5,False,0,1,0.20630013906456815,0.8081261606423489,,,False
0.9500000000000001,-0.5,False,0,1,0.24606496004491377,0.817740985409082,,,False
1.0,-0.5,False,0,1,0.2870495497805891,0.8213330059051855,,,False
0.30000000000000004,-0.45,True,-1,38,1.0080166305668637e-14,5.495920530603249e-14,1.6123791726100456,1.524708480837211,True
0.35000000000000003,-0.45,True,-1,38,8.177303202714501e-15,7.23800992906721e-14,1.75128903101339,1.5692683511839733,True
0.4,-0.45,True,-1,38,1.8150215342729043e-15,8.15670617031479e-15,2.2911543440820776,1.6454423612001485,True
0.45,-0.45,False,14,15,0.00046783809724100923,0.0066062726479250615,,,False
0.5,-0.45,False,10,11,0.0014979187897818948,0.02093573262985981,,,False
0.55,-0.45,False,0,1,0.007423051395713341,0.10293884895628798,,,False
0.6000000000000001,-0.45,False,0,1,0.0171385371323065,0.22440547221439625,,,False
0.65,-0.45,False,0,1,0.0301374788244449,0.35443393624652875,,,False
0.7000000000000001,-0.45,False,0,1,0.04832392659045289,0.4822207180163452,,,False
0.75,-0.45,False,0,1,0.07318567125162821,0.5913679966547087,,,False
0.8,-0.45,False,0,1,0.10437424125229815,0.6706707429601901,,,False
0.8500000000000001,-0.45,False,0,1,0.140139702560672,0.7216794944498435,,,False
0.9,-0.45,False,0,1,0.17883820526821242,0.7521837528776567,,,False
0.9500000000000001,-0.45,False,0,1,0.21943522223818118,0.7693269396205408,,,False
1.0,-0.45,False,0,1,0.2613428730161552,0.7779959294134857,,,False
0.30000000000000004,-0.4,True,-1,38,5.6670333516440535e-15,4.758550351769516e-14,1.4896669463376933,1.2687538808087624,True
0.35000000000000003,-0.4,True,-1,38,9.518989023185743e-15,5.2104772398441683e-14,1.5401049528039679,1.3090335131340733,True
0.4,-0.4,True,-1,38,3.7200755648761925e-15,4.189491737849622e-14,1.620558937532356,1.376487496834752,True
0.45,-0.4,True,-1,38,8.20119726831542e-15,4.5144281613984733e-14,1.7414595413745015,1.4732711934423321,True
0.5,-0.4,True,-1,38,2.2079207130766657e-15,7.83248380811786e-15,2.295170167833085,1.6041913447837925,True
0.55,-0.4,False,12,13,0.0004746511056550145,0.006552643289736661,,,False
0.6000000000000001,-0.4,False,0,1,0.0022705970337306234,0.03132110541540248,,,False
0.65,-0.4,False,0,1,0.013580903657032135,0.17436357247759496,,,False
0.7000000000000001,-0.4,False,0,1,0.028776541215398688,0.3234505767144027,,,False
0.75,-0.4,False,0,1,0.050252904260941526,0.46318494352139356,,,False
0.8,-0.4,False,0,1,0.07922240045468132,0.5736778210067295,,,False
0.8500000000000001,-0.4,False,0,1,0.11434107774284553,0.6477102895836049,,,False
0.9,-0.4,False,0,1,0.15335264104449467,0.6927495679054751,,,False
0.9500000000000001,-0.4,False,0,1,0.19467706582698252,0.7188896665830457,,,False
1.0,-0.4,False,0,1,0.23745552811761314,0.7333619597750518,,,False
0.30000000000000004,-0.35000000000000003,True,-1,38,9.63886045594696e-15,6.930817781087322e-14,1.5750635742194086,1.0504605782736787,True
0.35000000000000003,-0.35000000000000003,True,-1,38,3.594534575004821e-15,3.5018695963405254e-14,1.5370281232555216,1.0895260845279553,True
0.4,-0.35000000000000003,True,-1,38,6.560657218687885e-15,3.481777655518198e-14,1.5652867450126884,1.1541809165013435,True
0.45,-0.35000000000000003,True,-1,38,5.543685534784238e-15,3.9642057780145946e-14,1.6142881899702632,1.245141197182292,True
0.5,-0.35000000000000003,True,-1,38,4.786207384821466e-15,2.4648671607086612e-14,1.691304793864108,1.3644300288666615,True
0.55,-0.35000000000000003,True,-1,38,2.5685532148454536e-15,8.292488352178599e-15,1.9556847506899977,1.5169143182847822,True
0.6000000000000001,-0.35000000000000003,False,14,15,9.601260409943686e-05,0.0012973083151196078,,,False
0.65,-0.35000000000000003,False,4,5,0.00020521074269655247,0.00268636890195488,,,False
0.7000000000000001,-0.35000000000000003,False,0,1,0.012923841175476925,0.15897083992285882,,,False
0.75,-0.35000000000000003,False,0,1,0.031230727567394284,0.3232924175559875,,,False
0.8,-0.35000000000000003,False,0,1,0.05724264481363295,0.4658825473356928,,,False
0.8500000000000001,-0.35000000000000003,False,0,1,0.09101274210936873,0.567394466192531,,,False
0.9,-0.35000000000000003,False,0,1,0.13000888467410823,0.6301272133714675,,,False
0.9500000000000001,-0.35000000000000003,False,0,1,0.17192804031870412,0.6668100864561571,,,False
1.0,-0.35000000000000003,False,0,1,0.21551162539284865,0.6877890745883796,,,False
0.30000000000000004,-0.30000000000000004,True,-1,38,8.427325925656723e-15,4.8883474618512857e-14,1.6876629535984922,0.8569450078424414,True
0.35000000000000003,-0.30000000000000004,True,-1,38,7.560325340982499e-15,6.483865025867482e-14,1.6400534295451008,0.896640137017251,True
0.4,-0.30000000000000004,True,-1,38,4.0175656407730974e-15,2.184130939424945e-14,1.6044155711523533,0.9616321741794862,True
0.45,-0.30000000000000004,True,-1,38,7.311052544233667e-15,4.1184497588985866e-14,1.6126067063400862,1.0516754562339752,True
0.5,-0.30000000000000004,True,-1,38,2.382456868885156e-15,1.2170994074780809e-14,1.6351293327161365,1.167313600311892,True
0.55,-0.30000000000000004,True,-1,38,4.845713351197033e-15,2.356617790262107e-14,1.8284958083063163,1.3108283195922756,True
0.6000000000000001,-0.30000000000000004,True,-1,38,7.913990257226307e-16,7.738443946417517e-15,2.0780012192245256,1.48810288274335,True
0.65,-0.30000000000000004,True,-1,38,5.677626708156833e-15,2.681788815342724e-14,3.8132061433846722,1.7138260782993682,True
0.7000000000000001,-0.30000000000000004,False,3,4,0.0006848513067600264,0.008627128443712795,,,False
0.75,-0.30000000000000004,False,0,1,0.01572453041051001,0.17872198861473518,,,False
0.8,-0.30000000000000004,False,0,1,0.03861081242624948,0.34984869734409096,,,False
0.8500000000000001,-0.30000000000000004,False,0,1,0.0703642279722827,0.4814909203582198,,,False
0.9,-0.30000000000000004,False,0,1,0.10896000029913644,0.5649627543104075,,,False
0.9500000000000001,-0.30000000000000004,False,0,1,0.15131981918403764,0.6136774501402503,,,False
1.0,-0.30000000000000004,False,0,1,0.1956332551888772,0.6417433556355214,,,False
0.30000000000000004,-0.25,True,-1,38,6.2931139058834464e-15,4.288317703518026e-14,1.786999443480073,0.6801213339167054,True
0.35000000000000003,-0.25,True,-1,38,6.740948828456751e-15,5.3108836715669603e-14,1.7552935066702413,0.7219978070127953,True
0.4,-0.25,True,-1,38,4.04812953236456e-15,3.841714058644489e-14,1.7020420352684384,0.7895694349610345,True
0.45,-0.25,True,-1,38,6.069021749871804e-15,3.637796986218187e-14,1.6684097143249732,0.8815928684374053,True
0.5,-0.25,True,-1,38,1.756294223338048e-15,2.3127305007509562e-14,1.6537636371568332,0.9976780751209942,True
0.55,-0.25,True,-1,38,3.0323522101633278e-15,1.5448692986439672e-14,1.8211013613568006,1.1385856336960725,True
0.6000000000000001,-0.25,True,-1,38,6.545845201555505e-15,3.3270700735660366e-14,2.099254736309122,1.307560959913573,True
0.65,-0.25,True,-1,38,1.657219388221185e-15,6.8245725794603504e-15,2.410966566921242,1.5128581578746987,True
0.7000000000000001,-0.25,False,11,12,0.0008715590867200903,0.010715371973197612,,,False
0.75,-0.25,False,0,1,0.003014763407320537,0.03672711371164635,,,False
0.8,-0.25,False,0,1,0.023198256992232626,0.23036604928273977,,,False
0.8500000000000001,-0.25,False,0,1,0.052521045614937444,0.39183831542242403,,,False
0.9,-0.25,False,0,1,0.09033211695441092,0.4983647348310873,,,False
0.9500000000000001,-0.25,False,0,1,0.13297338661799263,0.5603142047409496,,,False
1.0,-0.25,False,0,1,0.1779372415589819,0.5958252837423033,,,False
0.30000000000000004,-0.2,True,-1,38,7.832250175373544e-15,6.553966843510454e-14,1.897349164073063,0.5073835896278913,True
0.35000000000000003,-0.2,True,-1,38,6.8103043192454635e-15,4.953791447541576e-14,1.881255672733922,0.5612349860119275,True
0.4,-0.2,True,-1,38,3.469891012745392e-15,2.2085307036656795e-14,1.830784423053023,0.6332144249267049,True
0.45,-0.2,True,-1,38,6.227710431616916e-15,4.360135765373368e-14,1.7644886246994274,0.729849648959656,True
0.5,-0.2,True,-1,38,1.1904521369118137e-14,9.246443465931164e-14,1.7126584324037841,0.8494857921858807,True
0.55,-0.2,True,-1,38,7.608673562739093e-15,4.295654830802028e-14,1.8351047581029767,0.9917754428478276,True
0.6000000000000001,-0.2,True,-1,38,4.962041795574094e-15,2.7187284789638875e-14,2.146513033364188,1.1584764093850233,True
0.65,-0.2,True,-1,38,1.119238209367182e-14,6.175739206838336e-14,2.494016171311808,1.3549348964234484,True
0.7000000000000001,-0.2,True,-1,38,8.851374477315529e-16,2.315358349229952e-15,2.902813619244271,1.5942445021876195,True
0.75,-0.2,False,7,8,0.0016376043054852464,0.018442790392482335,,,False
0.8,-0.2,False,0,1,0.010607673256008707,0.11326285863758326,,,False
0.8500000000000001,-0.2,False,0,1,0.0374769891119268,0.3014850299797203,,,False
0.9,-0.2,False,0,1,0.07420974065853189,0.4319865084224525,,,False
0.9500000000000001,-0.2,False,0,1,0.11699466152797612,0.5077891385642691,,,False
1.0,-0.2,False,0,1,0.16253348391952344,0.5507435341452143,,,False
0.30000000000000004,-0.15000000000000002,True,-1,38,4.661697450552515e-15,3.481012130460914e-14,2.1590593452718174,0.34201978769204544,True
0.35000000000000003,-0.15000000000000002,True,-1,38,8.077587822359378e-15,6.646902650310592e-14,2.1090681615973295,0.41305800578790786,True
0.4,-0.15000000000000002,True,-1,38,4.308824046522781e-15,3.055925977579391e-14,2.010390091778709,0.4920186909942261,True
0.45,-0.15000000000000002,True,-1,38,8.237376026420737e-15,7.118316382182934e-14,1.894862575743192,0.5957201203986009,True
0.5,-0.15000000000000002,True,-1,38,2.2541902238434278e-15,1.9217684075315532e-14,1.8012897038187292,0.7213784786460347,True
0.55,-0.15000000000000002,True,-1,38,3.588099286842519e-15,2.1967268163382588e-14,1.8714931739622687,0.8677726834014083,True
0.6000000000000001,-0.15000000000000002,True,-1,38,5.821860175689733e-15,3.5112102265249514e-14,2.2200512822644636,1.035765404103276,True
0.65,-0.15000000000000002,True,-1,38,8.99845863678116e-15,5.749108076986154e-14,2.616930321063544,1.2289486013563087,True
0.7000000000000001,-0.15000000000000002,True,-1,38,3.764949453935611e-16,4.652005349075406e-16,3.0582984181082673,1.4565511418634607,True
0.75,-0.15000000000000002,False,12,13,0.00014238609316762917,0.0016049496515597565,,,False
0.8,-0.15000000000000002,False,0,1,0.0003480632262544463,0.003920117171520916,,,False
0.8500000000000001,-0.15000000000000002,False,0,1,0.025085983685835412,0.21439802149186427,,,False
0.9,-0.15000000000000002,False,0,1,0.060627344364322856,0.3680167647256757,,,False
0.9500000000000001,-0.15000000000000002,False,0,1,0.10347285213698842,0.45738517053060423,,,False
1.0,-0.15000000000000002,False,0,1,0.14952341404531347,0.5072905241965143,,,False
0.30000000000000004,-0.1,True,-1,38,5.719551403421275e-15,4.335288473209688e-14,2.530166923323905,0.1863171572627138,True
0.35000000000000003,-0.1,True,-1,38,6.703488675862381e-15,7.811164336022904e-14,2.4159960205170465,0.270976100224829,True
0.4,-0.1,True,-1,38,6.545271444023091e-15,5.564398355466285e-14,2.236814555439611,0.36494321059383017,True
0.45,-0.1,True,-1,38,2.2051276433777916e-15,1.367230157286454e-14,2.0545655985845928,0.47806764468421603,True
0.5,-0.1,True,-1,38,4.050436301346149e-15,2.5983522265741986e-14,2.025206878663217,0.6117197579577556,True
0.55,-0.1,True,-1,38,6.2840639854086724e-15,4.4792191630154676e-14,2.2054328558062153,0.7640519730216,True
0.6000000000000001,-0.1,True,-1,38,1.0362907589042387e-15,7.348887642705914e-15,2.412616677487869,0.9346983188313291,True
0.65,-0.1,True,-1,38,3.554447978966673e-16,5.486317125635809e-16,2.7795128795285273,1.1274640712789028,True
0.7000000000000001,-0.1,True,-1,38,1.5396215689421248e-15,5.360106737012278e-15,3.297842796262702,1.3498293524967153,True
0.75,-0.1,True,-1,38,2.0525994120484193e-15,5.077344970703704e-15,3.883193744572544,1.6191765944629153,True
0.8,-0.1,False,5,6,0.0011687272111919032,0.011742297033467604,,,False
0.8500000000000001,-0.1,False,0,1,0.01511126414680004,0.1348430204121004,,,False
0.9,-0.1,False,0,1,0.04957523978346412,0.30903052139101383,,,False
0.9500000000000001,-0.1,False,0,1,0.09248307650582804,0.41050921040119254,,,False
1.0,-0.1,False,0,1,0.13899997071758977,0.4662789836627627,,,False
0.30000000000000004,-0.05,True,-1,38,2.3172581379609074e-15,2.4662673538305407e-14,3.0602235318176434,0.040641822637685454,True
0.35000000000000003,-0.05,True,-1,38,1.0754712517455512e-14,1.1897986319271722e-13,2.817037766527355,0.1361528658904838,True
0.4,-0.05,True,-1,38,2.6381305957120764e-15,1.850310868091696e-14,2.516657633360657,0.24606867268582988,True
